State Code,2020-01-30,2020-02-02,2020-02-03,2020-02-14,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,
GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,10,13,21,22,25,25,26,33,44,44,54,59,64,73,86,93,105,131,139,179,258,265,282,313,394,434,527,613,736,896,1042,1195,1381,1500,1709,1872,2091,2545,2780,3246,3562,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412,6636,7137,7547,8001,8609,9230,9919,10780,11894,12212,12667,13011,13324,13643,13964,14373,14743,15109,15501,15891,16333,16672,17090,17438,17827,18167,18702,19357,19917,20521,21096,21506,22038,22417,22808,23248,23670,24038,24601,24941,25414,25900,26323,26744,27313,27742,28183,28685,29198,29806,30555,31346,32174,32944,34005,34882,35659,36403,37240,37958,38830,39612,40365,41380,42412,43195,44074,44907,45782,46587,47561,48459,49505,50422,51792,
HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,8,12,12,13,13,16,16,16,16,16,16,16,18,18,22,22,25,25,25,28,30,33,34,34,34,34,34,34,35,35,35,35,35,35,35,39,40,42,47,50,55,55,57,59,63,63,66,73,83,107,116,118,136,146,175,185,190,218,223,237,250,276,293,309,326,342,361,368,373,385,405,417,429,432,466,474,494,501,518,556,575,617,632,671,696,724,750,777,820,833,872,895,916,927,938,966,971,1011,1030,1059,1067,1077,1105,1136,1145,1173,1198,1216,1234,1332,1387,1459,1502,1559,1658,1710,1762,1865,1954,
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,24,27,27,28,29,29,29,31,32,32,36,36,44,51,55,57,65,86,100,104,141,147,158,170,186,191,199,213,224,225,235,241,242,245,254,256,260,260,279,290,300,337,342,418,439,464,514,562,598,627,648,681,706,750,765,802,824,838,881,940,971,1048,1055,1069,1089,1123,1209,1280,1474,1700,1807,2188,2261,2475,2803,3003,3565,3748,3952,4556,4889,5128,5557,5916,6498,6925,7380,8016,8472,8917,9502,9972,10499,11019,11691,12257,12944,13335,13645,14106,14505,14904,15394,15983,16637,17090,17667,18185,18718,19318,19793,20226,20952,21697,22249,22953,23654,24384,25046,25758,26420,27340,28227,29080,29690,30470,31226,31960,32640,33444,
JH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,8,8,13,17,19,19,19,21,22,27,27,33,37,41,41,78,78,78,79,87,87,97,113,113,127,127,129,136,136,141,148,148,153,153,153,216,256,256,296,296,297,366,435,473,490,519,559,592,630,685,816,905,1000,1121,1151,1198,1335,1404,1406,1469,1520,1575,1605,1647,1724,1793,1849,1884,1931,1988,2001,2035,2045,2068,2104,2170,2210,2224,2256,2308,2351,2428,2485,2513,2577,2656,2718,2835,2942,3048,3254,3354,3521,3704,3805,3984,4061,4176,4343,4513,4682,4794,5199,5826,6594,7491,
JK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,4,6,6,6,6,6,16,30,36,38,42,51,56,71,81,92,92,109,112,137,164,176,192,216,247,254,287,303,320,322,335,364,368,383,427,455,466,485,513,542,575,609,647,678,684,720,774,809,809,833,854,859,875,908,927,946,953,1007,1048,1086,1126,1216,1324,1506,1671,1820,2086,2269,2389,2604,2781,2914,3144,3194,3336,3382,3531,3642,3818,3967,4080,4225,4316,4585,4722,4856,4974,5075,5143,5255,5318,5399,5567,5695,5786,5895,5979,6095,6223,6337,6446,6558,7165,7811,8274,8455,8607,8709,9217,9517,9928,10402,10885,11322,11842,12217,12871,13127,14032,14856,15244,15708,16218,
KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,5,5,6,8,9,11,11,11,12,20,25,28,30,34,39,54,60,71,80,82,88,104,111,112,129,131,145,152,158,182,193,207,216,229,251,271,293,321,331,354,366,376,386,422,426,433,451,460,480,496,509,530,543,556,571,597,608,654,705,764,781,834,894,997,1218,1318,1393,1504,1610,1693,1973,2132,2441,2605,2862,2976,3440,3648,3960,4134,4456,4804,4980,5210,5393,5619,5730,6004,6153,6672,6918,7289,7509,7685,7920,8065,8336,8807,9246,9849,10529,11100,11878,12835,13838,14718,15411,16249,17390,18466,19729,20757,21775,23065,23795,25459,27239,29310,31347,33750,35838,37685,40504,42901,46694,49788,53648,57725,62500,69272,74679,80281,84232,
KL,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,24,26,28,42,50,56,59,71,84,97,124,143,179,198,211,218,245,255,257,270,291,307,308,316,331,338,342,355,359,369,383,392,400,401,462,462,469,474,484,485,489,489,489,490,493,493,497,497,497,497,502,510,512,515,520,532,542,552,555,565,575,590,608,627,651,690,712,762,803,814,848,905,967,999,1045,1101,1174,1234,1324,1413,1509,1566,1659,1747,1807,1888,1941,2006,2108,2150,2229,2304,2436,2638,2839,3048,3174,3341,3452,3559,3708,3820,3963,4095,4257,4438,4634,4862,4995,5199,5371,5616,5890,6162,6594,7562,8611,9300,10045,10724,11365,12159,13023,13775,14463,15278,16299,17533,18333,19147,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,10,10,10,10,11,11,11,12,12,12,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,21,22,22,22,22,24,24,24,43,43,43,43,43,43,43,43,43,43,43,43,43,47,47,47,48,48,48,50,50,50,50,50,54,58,68,80,82,85,92,95,95,117,134,136,148,274,358,467,554,586,616,648,694,729,776,826,826,836,860,888,915,917,928,928,946,946,964,970,973,985,1003,1007,1010,1018,1025,1035,1057,1063,1066,1067,1080,1094,1095,1108,1108,1109,1127,1164,1177,1194,
MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,39,39,42,50,52,56,70,79,117,125,188,208,217,229,259,295,300,331,365,507,572,722,789,840,957,1076,1188,1282,1388,1593,1773,1879,2000,2115,2465,2819,3094,3301,3470,3800,4199,4786,5125,5547,6089,6564,7088,7688,8437,9639,10318,11726,12583,13404,14600,15786,16954,17918,18616,26997,28081,29329,30108,31333,32329,33681,35147,37390,39314,40975,42639,44516,46078,47796,49346,50978,56049,57851,59166,60838,62773,64153,65744,67706,69631,73792,77453,79815,84245,86575,88960,90911,93154,101172,104687,108082,111740,115262,118558,123192,127259,132625,136985,140325,144507,149007,152613,158140,160357,165663,169569,175029,182217,187769,194253,199967,207194,213238,221944,232277,239755,248615,256158,266883,276809,287030,299356,305521,316375,327281,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,18,22,23,26,26,28,31,32,32,32,37,37,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,45,45,45,45,45,46,46,46,49,49,49,49,52,70,77,82,87,94,135,186,194,207,210,215,252,264,264,330,339,345,411,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,11,11,14,38,38,38,52,52,58,64,64,73,73,73,91,151,159,192,199,218,232,250,250,258,328,354,393,432,455,494,553,579,616,639,667,689,734,771,793,799,832,843,896,970,1020,1080,1129,1163,1182,1235,1320,1384,1418,1460,1491,1520,1521,1559,1615,1653,1672,1689,1699,1737,1766,1814,1862,1905,1926,
MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,21,25,25,37,38,41,51,64,64,70,70,127,131,138,148,152,203,210,281,302,357,373,461,482,524,624,798,856,1000,1099,1231,1349,1480,1676,1747,1860,2004,2171,2283,2315,2403,2435,2631,2734,2844,3089,3267,3408,3571,3689,3927,4050,4269,4444,4842,5003,5221,5445,5637,5878,6108,6331,6536,6729,6892,7042,7201,7377,7677,7903,8152,8388,8632,8748,8880,9015,9215,9335,9473,9619,9804,9971,10084,10199,10395,10655,10815,11049,11234,11411,11579,11768,11987,12232,12481,12679,12876,13208,13575,13908,14127,14514,14864,15311,15684,16257,16836,17359,17866,18488,19132,19791,20343,20934,21657,22271,22969,23550,24099,25414,26064,26902,27621,
MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,12,19,24,30,47,55,55,61,122,123,126,127,130,133,133,139,143,143,143,150,150,151,159,159,160,160,167,167,168,168,179,183,183,183,193,193,198,215,234,247,253,258,266,282,286,288,288,
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,10,22,29,57,84,88,88,103,103,109,125,138,141,141,141,148,160,162,164,164,168,168,182,197,228,228,231,243,303,304,304,304,313,327,340,346,348,391,405,432,445,484,485,486,530,537,541,549,569,577,595,625,635,640,648,657,659,685,819,824,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,12,12,12,18,18,19,19,21,24,24,24,30,32,33,33,34,35,37,38,39,41,55,56,60,60,60,61,62,63,68,68,85,116,143,158,166,196,220,277,307,343,393,436,497,550,649,733,812,887,977,1050,1126,1245,1325,1416,1481,1604,1716,1894,1993,2133,2282,2354,2474,2594,2708,2854,2974,3047,3144,3297,3534,3720,3863,3988,4123,4291,4422,4606,4743,4946,5189,5353,5502,5705,5934,6224,6486,6703,7006,7407,7972,8360,8750,9255,9864,10476,10877,11330,11937,12453,12910,13310,13750,14393,15201,15929,16793,17374,18061,18939,19746,20518,21274,21955,23074,24483,25738,26888,28698,
PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,14,14,18,20,20,23,25,27,27,29,30,31,37,38,49,53,66,70,72,84,98,101,101,104,108,112,117,128,133,135,149,152,157,166,168,171,200,223,305,1257,1366,1547,1642,1794,1819,1847,1870,1898,1913,1918,1918,1946,1949,1967,1987,2000,2017,2029,2043,2069,2092,2106,2128,2167,2232,2259,2282,2327,2356,2443,2461,2538,2570,2636,2678,2700,2825,3047,3099,3192,3201,3320,3526,3764,3867,3989,4144,4266,4306,4408,4494,4554,4828,4945,5017,5040,5392,5586,5663,5867,6277,6373,6454,6535,7118,7389,7641,7741,8096,8297,8810,9064,9752,10213,10509,10734,11075,11466,11882,12491,12943,13659,14040,
PY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,12,17,17,17,17,23,23,25,25,25,33,37,43,48,49,53,55,60,67,76,82,91,95,99,109,116,118,131,140,149,165,176,187,203,221,252,262,272,301,331,384,405,448,480,517,584,619,637,690,739,785,829,889,947,1014,1062,1154,1265,1318,1369,1400,1483,1561,1645,1720,1782,1874,1958,2100,2198,2309,2411,2537,2668,2808,2914,
RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,25,25,25,25,45,60,60,116,121,121,147,147,164,183,200,205,205,274,344,451,493,513,629,744,770,814,893,1116,1242,1356,1438,1525,1739,1889,2011,2162,2241,2324,2454,2573,2638,2729,2944,3055,3218,3337,3404,3485,3680,3786,3848,4056,4276,4562,4815,5244,5739,6032,6213,6435,6744,7104,7359,7501,7754,8117,8328,8569,8775,9011,9337,9566,9785,9962,10467,10742,10997,11274,11597,11910,12213,12611,12840,13062,13367,13611,13921,14220,14574,14948,15281,15640,15928,16278,16575,16866,17070,17620,17869,18103,18630,19169,19502,19970,20626,21144,21730,22195,22744,23364,23815,24547,25306,25954,26834,27317,28309,29231,29845,30668,31216,32051,32832,33849,35131,36195,
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,5,21,21,25,29,29,39,39,39,49,49,49,50,52,52,52,52,61,65,65,71,71,80,80,81,87,86,87,87,88,90,90,92,108,112,122,137,142,147,174,186,198,214,231,269,289,297,299,303,353,406,
TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,14,17,32,33,33,45,45,45,45,45,96,103,103,110,118,186,186,186,186,186,194,194,252,291,307,316,332,374,409,442,464,499,545,585,628,648,693,727,751,751,801,822,939,952,959,971,992,1002,1011,1013,1036,1043,1068,1092,1164,1284,1321,1345,1381,1412,1428,1491,1526,1556,1587,1627,1710,1742,1742,1742,1817,1993,2278,2352,2377,2766,3027,3071,3301,3352,3506,3731,4005,4224,4361,4688,4766,4928,5172,5582,7294,8082,9069,10195,11537,12703,14781,16287,17279,18192,19205,20919,22482,23679,24840,25999,27295,28705,30607,32438,34323,36385,37666,39327,40334,41332,41332,42106,42909,43751,44572,45388,46502,47590,48609,49675,50814,52103,53239,
